Parent ID,Parent Name,Total 10 Year Mean Count,Total 1 Day Prob,Total 1 Week Prob,Total 1 Month Prob,Total 1 Year Prob,Total 10 Year Prob,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
142,Great Valley 13 (Coalinga),5.7E-4,0.0,0.0,0.0,6.0E-5,5.7E-4,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
141,Great Valley 14 (Kettleman Hills),8.4E-4,0.0,0.0,0.0,6.0E-5,8.4E-4,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
623,Green Valley 2011 CFM,0.05445,0.0,3.0E-5,2.1E-4,0.00481,0.05219,2.0E-5,0.0,1.0E-5,1.0E-5,2.0E-5,2.0E-5,0.0
636,Greenville (No) 2011 CFM,0.01333,1.0E-5,3.0E-5,1.0E-4,0.00116,0.01295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
635,Greenville (So) 2011 CFM,0.01526,0.0,8.0E-5,1.8E-4,0.00139,0.01508,1.0E-5,0.0,1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5
702,Hartley Springs 2011 CFM,0.00397,0.0,0.0,4.0E-5,3.7E-4,0.00397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Hat Creek-McArthur-Mayfield,0.01234,2.0E-5,5.0E-5,1.0E-4,0.00105,0.01178,2.0E-5,1.0E-5,1.0E-5,1.0E-5,2.0E-5,2.0E-5,2.0E-5
639,Hayward (No) 2011 CFM,0.04621,0.0,5.0E-5,3.6E-4,0.00447,0.04514,2.0E-5,0.0,0.0,2.0E-5,2.0E-5,2.0E-5,0.0
638,Hayward (So) 2011 CFM,0.1097,3.0E-5,1.7E-4,8.0E-4,0.00965,0.1005,7.0E-5,1.0E-5,2.0E-5,4.0E-5,5.0E-5,6.0E-5,3.0E-5
637,Hayward (So) extension 2011 CFM,0.08725,6.0E-5,1.4E-4,6.0E-4,0.0075,0.08087,3.0E-5,1.0E-5,1.0E-5,2.0E-5,3.0E-5,3.0E-5,1.0E-5
167,Hector Mine,7.8E-4,0.0,0.0,1.0E-5,9.0E-5,7.8E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Helendale-So Lockhart,0.00643,9.0E-5,2.1E-4,3.5E-4,0.00101,0.00638,9.3E-4,9.0E-5,2.1E-4,3.2E-4,5.8E-4,9.2E-4,1.5E-4
703,Hilton Creek 2011 CFM,0.00101,0.0,0.0,0.0,9.0E-5,0.00101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Hollywood,0.00394,1.0E-5,2.0E-5,3.0E-5,3.9E-4,0.00383,1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5
228,Holser alt 1,0.00163,0.0,0.0,0.0,1.6E-4,0.00163,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
723,Homestead Valley 2011,0.00195,0.0,1.0E-5,1.0E-5,2.1E-4,0.00195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
704,Honey Lake 2011 CFM,0.02365,1.0E-5,2.0E-5,1.6E-4,0.00234,0.0229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Hosgri,0.00798,2.0E-5,2.0E-5,7.0E-5,6.4E-4,0.00772,5.0E-5,2.0E-5,2.0E-5,2.0E-5,2.0E-5,5.0E-5,0.0
208,Hosgri (Extension),0.00451,1.0E-5,1.0E-5,5.0E-5,3.8E-4,0.00445,5.0E-5,1.0E-5,1.0E-5,1.0E-5,3.0E-5,5.0E-5,2.0E-5
50,Hunter Mountain-Saline Valley,0.02999,0.00391,0.00606,0.00791,0.01237,0.02934,0.01487,0.00391,0.00603,0.00777,0.011,0.01458,0.00663
677,Hunting Creek - Bartlett Springs connector 2011,0.02777,0.0,4.0E-5,1.5E-4,0.00236,0.02729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
640,Hunting Creek - Berryessa 2011 CFM,0.09388,0.0,1.3E-4,4.7E-4,0.00798,0.08105,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,0.0
97,Imperial,0.12563,0.0,1.9E-4,8.5E-4,0.0117,0.12146,1.4E-4,0.0,2.0E-5,7.0E-5,1.0E-4,1.4E-4,5.0E-5
678,Incline Village 2011 CFM,3.4E-4,0.0,0.0,0.0,0.0,3.4E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Independence rev 2011,0.00124,6.0E-5,7.0E-5,1.2E-4,2.3E-4,0.00124,1.7E-4,6.0E-5,7.0E-5,9.0E-5,1.1E-4,1.7E-4,7.0E-5
892,Jess Valley,0.00122,0.0,0.0,0.0,8.0E-5,0.00116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Johnson Valley (No) 2011 rev,0.00335,0.0,2.0E-5,2.0E-5,3.3E-4,0.00335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,Joshua Tree (Seismicity),6.6E-4,0.0,0.0,2.0E-5,1.1E-4,6.6E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
679,Keddie Ridge 2011 CFM,0.00799,0.0,1.0E-5,4.0E-5,6.2E-4,0.00788,3.0E-5,0.0,0.0,1.0E-5,1.0E-5,3.0E-5,0.0
