Subsection Index,Subsection Name,Total Mean Annual Rate,Total 500 Year Prob,Long-Term Fault System Solution Rate
174,"Bullion Mountains, Subsection 5",1.96E-4,0.097,4.7305124E-4
175,"Burnt Mtn, Subsection 0",3.6E-4,0.18,7.1063195E-4
176,"Burnt Mtn, Subsection 1",3.6E-4,0.18,7.1063195E-4
177,"Burnt Mtn, Subsection 2",3.6E-4,0.18,7.1063195E-4
178,"Butano 2011 CFM, Subsection 0",1.92E-4,0.093,2.2920773E-4
179,"Butano 2011 CFM, Subsection 1",2.04E-4,0.098,2.395912E-4
180,"Butano 2011 CFM, Subsection 2",2.32E-4,0.112,2.4632245E-4
181,"Butano 2011 CFM, Subsection 3",2.24E-4,0.11,2.492674E-4
182,"Butano 2011 CFM, Subsection 4",2.3E-4,0.113,2.468755E-4
183,"Butano 2011 CFM, Subsection 5",2.3E-4,0.113,2.4795273E-4
184,"Butano 2011 CFM, Subsection 6",2.26E-4,0.11,2.443727E-4
185,"Butano 2011 CFM, Subsection 7",2.04E-4,0.099,2.3200364E-4
186,"Cady, Subsection 0",1.64E-4,0.079,2.907371E-4
187,"Cady, Subsection 1",1.88E-4,0.09,3.1845164E-4
188,"Cady, Subsection 2",1.78E-4,0.088,2.991194E-4
189,"Cady, Subsection 3",1.72E-4,0.085,2.7910143E-4
190,"Cady, Subsection 4",1.52E-4,0.075,2.4058865E-4
191,"Calaveras (Central) 2011 CFM, Subsection 0",0.00217,0.696,0.0034574287
192,"Calaveras (Central) 2011 CFM, Subsection 1",0.002348,0.732,0.0037877862
193,"Calaveras (Central) 2011 CFM, Subsection 2",0.002398,0.741,0.0038693424
194,"Calaveras (Central) 2011 CFM, Subsection 3",0.002476,0.758,0.0039872355
195,"Calaveras (Central) 2011 CFM, Subsection 4",0.002522,0.762,0.004047943
196,"Calaveras (Central) 2011 CFM, Subsection 5",0.002406,0.742,0.0038846917
197,"Calaveras (Central) 2011 CFM, Subsection 6",0.002492,0.745,0.0039779204
198,"Calaveras (Central) 2011 CFM, Subsection 7",0.00262,0.767,0.004142513
199,"Calaveras (Central) 2011 CFM, Subsection 8",0.002896,0.804,0.004528801
200,"Calaveras (Central) 2011 CFM, Subsection 9",0.0016,0.601,0.0027039486
201,"Calaveras (No) 2011 CFM, Subsection 0",0.001274,0.521,0.0020357843
202,"Calaveras (No) 2011 CFM, Subsection 1",0.001318,0.532,0.002100431
203,"Calaveras (No) 2011 CFM, Subsection 2",0.00135,0.544,0.0021269666
204,"Calaveras (No) 2011 CFM, Subsection 3",0.001378,0.558,0.0021471966
205,"Calaveras (No) 2011 CFM, Subsection 4",0.001396,0.561,0.0021898171
206,"Calaveras (No) 2011 CFM, Subsection 5",0.001478,0.585,0.0022854214
207,"Calaveras (No) 2011 CFM, Subsection 6",0.001158,0.492,0.0018672848
208,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 0",0.002444,0.745,0.0038870052
209,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 1",0.002476,0.75,0.0039480394
210,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 2",0.0024,0.735,0.003790739
211,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 3",0.002282,0.716,0.003635578
212,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 4",0.002174,0.695,0.0034722972
213,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 5",0.002106,0.682,0.0032910686
214,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 6",0.001592,0.579,0.0024633445
215,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 7",0.002216,0.692,0.00319894
216,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 8",0.001262,0.479,0.001684804
217,"Calaveras (So) 2011 CFM, Subsection 0",0.00253,0.755,0.004046391
218,"Calaveras (So) 2011 CFM, Subsection 1",0.002692,0.777,0.0042500156
219,"Calaveras (So) 2011 CFM, Subsection 2",0.002642,0.769,0.004173949
220,"Calaveras (So) 2011 CFM, Subsection 3",0.002562,0.757,0.0040700114
221,"Calaveras (So) 2011 CFM, Subsection 4",0.002366,0.728,0.0037915702
222,"Calaveras (So) 2011 CFM, Subsection 5",0.002296,0.719,0.0036752978
223,"Calico-Hidalgo, Subsection 0",2.96E-4,0.146,5.720361E-4
224,"Calico-Hidalgo, Subsection 1",3.18E-4,0.156,6.100598E-4
225,"Calico-Hidalgo, Subsection 2",3.26E-4,0.16,6.3026114E-4
226,"Calico-Hidalgo, Subsection 3",3.28E-4,0.161,6.4820785E-4
227,"Calico-Hidalgo, Subsection 4",3.18E-4,0.157,6.2860403E-4
