Subsection Index,Subsection Name,Total 10 Year Mean Count,Total 1 Day Prob,Total 1 Week Prob,Total 1 Month Prob,Total 1 Year Prob,Total 10 Year Prob,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
105,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 4",0.0032,0.0,0.0,0.0,1.0E-4,0.0032,0.0012,0.0,0.0,0.0,1.0E-4,0.0012,6.0E-4
106,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 5",0.0033,0.0,0.0,0.0,2.0E-4,0.0033,0.0012,0.0,0.0,0.0,1.0E-4,0.0012,7.0E-4
107,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 6",0.0029,0.0,0.0,0.0,2.0E-4,0.0029,0.001,0.0,0.0,0.0,1.0E-4,0.001,6.0E-4
108,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 7",0.003,0.0,0.0,0.0,1.0E-4,0.003,0.001,0.0,0.0,0.0,0.0,0.001,7.0E-4
109,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 8",0.003,0.0,0.0,0.0,1.0E-4,0.003,9.0E-4,0.0,0.0,0.0,0.0,9.0E-4,7.0E-4
110,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 9",0.0034,0.0,0.0,0.0,2.0E-4,0.0034,0.001,0.0,0.0,0.0,0.0,0.001,7.0E-4
111,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 10",0.0032,0.0,0.0,0.0,2.0E-4,0.0032,9.0E-4,0.0,0.0,0.0,0.0,9.0E-4,6.0E-4
112,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 11",0.003,0.0,0.0,0.0,2.0E-4,0.003,7.0E-4,0.0,0.0,0.0,0.0,7.0E-4,4.0E-4
113,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 12",0.0037,0.0,0.0,0.0,2.0E-4,0.0037,8.0E-4,0.0,0.0,0.0,0.0,8.0E-4,4.0E-4
114,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 13",0.0035,0.0,0.0,0.0,2.0E-4,0.0035,7.0E-4,0.0,0.0,0.0,0.0,7.0E-4,4.0E-4
115,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 14",0.0039,0.0,0.0,0.0,2.0E-4,0.0039,7.0E-4,0.0,0.0,0.0,0.0,7.0E-4,3.0E-4
116,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 15",0.0039,0.0,0.0,0.0,2.0E-4,0.0039,7.0E-4,0.0,0.0,0.0,0.0,7.0E-4,2.0E-4
117,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 16",0.0056,0.0,0.0,0.0,2.0E-4,0.0054,9.0E-4,0.0,0.0,0.0,0.0,9.0E-4,4.0E-4
118,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 17",0.0048,0.0,0.0,0.0,1.0E-4,0.0046,9.0E-4,0.0,0.0,0.0,0.0,9.0E-4,4.0E-4
119,"Big Pine (Central), Subsection 0",0.003,0.0,0.0,0.0,1.0E-4,0.003,7.0E-4,0.0,0.0,0.0,0.0,7.0E-4,0.0
120,"Big Pine (Central), Subsection 1",0.0032,0.0,0.0,0.0,1.0E-4,0.0032,7.0E-4,0.0,0.0,0.0,0.0,7.0E-4,0.0
121,"Big Pine (Central), Subsection 2",0.004,0.0,0.0,0.0,1.0E-4,0.0039,8.0E-4,0.0,0.0,0.0,0.0,8.0E-4,1.0E-4
122,"Big Pine (Central), Subsection 3",0.0054,0.0,0.0,0.0,4.0E-4,0.0052,0.001,0.0,0.0,0.0,0.0,0.001,1.0E-4
123,"Big Pine (Central), Subsection 4",0.0053,0.0,0.0,0.0,4.0E-4,0.0052,0.001,0.0,0.0,0.0,0.0,0.001,1.0E-4
124,"Big Pine (Central), Subsection 5",0.0049,0.0,0.0,0.0,4.0E-4,0.0048,8.0E-4,0.0,0.0,0.0,0.0,8.0E-4,0.0
125,"Big Pine (Central), Subsection 6",0.0049,0.0,0.0,0.0,4.0E-4,0.0048,8.0E-4,0.0,0.0,0.0,0.0,8.0E-4,0.0
126,"Big Pine (East), Subsection 0",0.0031,0.0,0.0,0.0,3.0E-4,0.0031,0.0011,0.0,0.0,0.0,2.0E-4,0.0011,6.0E-4
127,"Big Pine (East), Subsection 1",0.0034,0.0,0.0,0.0,4.0E-4,0.0034,0.0011,0.0,0.0,0.0,2.0E-4,0.0011,6.0E-4
128,"Big Pine (East), Subsection 2",0.0031,0.0,0.0,0.0,6.0E-4,0.0031,0.0012,0.0,0.0,0.0,2.0E-4,0.0012,4.0E-4
129,"Big Pine (East), Subsection 3",0.0028,0.0,0.0,0.0,6.0E-4,0.0028,0.001,0.0,0.0,0.0,2.0E-4,0.001,4.0E-4
130,"Big Pine (West), Subsection 0",3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
131,"Big Pine (West), Subsection 1",3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
132,"Big Pine (West), Subsection 2",2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
133,"Blackwater, Subsection 0",0.0043,0.0,0.0,0.0,4.0E-4,0.0043,6.0E-4,0.0,0.0,0.0,1.0E-4,6.0E-4,3.0E-4
134,"Blackwater, Subsection 1",0.0048,0.0,0.0,0.0,4.0E-4,0.0048,6.0E-4,0.0,0.0,0.0,1.0E-4,6.0E-4,3.0E-4
135,"Blackwater, Subsection 2",0.0035,0.0,0.0,0.0,5.0E-4,0.0035,6.0E-4,0.0,0.0,0.0,1.0E-4,6.0E-4,4.0E-4
136,"Blackwater, Subsection 3",0.0034,0.0,0.0,0.0,5.0E-4,0.0034,7.0E-4,0.0,0.0,0.0,1.0E-4,7.0E-4,5.0E-4
137,"Blackwater, Subsection 4",0.0032,0.0,0.0,0.0,4.0E-4,0.0032,8.0E-4,0.0,0.0,0.0,1.0E-4,8.0E-4,6.0E-4
138,"Blackwater, Subsection 5",0.0032,0.0,0.0,0.0,4.0E-4,0.0032,0.0011,0.0,0.0,0.0,1.0E-4,0.0011,7.0E-4
139,"Blackwater, Subsection 6",0.0033,0.0,0.0,0.0,6.0E-4,0.0033,0.0013,0.0,0.0,0.0,3.0E-4,0.0013,7.0E-4
140,"Blackwater, Subsection 7",0.004,0.0,0.0,0.0,7.0E-4,0.004,0.0016,0.0,0.0,0.0,4.0E-4,0.0016,5.0E-4
141,"Blackwater, Subsection 8",0.0047,0.0,0.0,0.0,7.0E-4,0.0047,0.0019,0.0,0.0,0.0,4.0E-4,0.0019,5.0E-4
142,"Blackwater, Subsection 9",0.0063,0.0,0.0,0.0,0.001,0.0063,0.003,0.0,0.0,0.0,7.0E-4,0.003,7.0E-4
143,"Blackwater, Subsection 10",0.006,0.0,0.0,0.0,9.0E-4,0.006,0.0029,0.0,0.0,0.0,7.0E-4,0.0029,7.0E-4
144,"Blue Cut, Subsection 0",0.005,0.0,0.0,0.0,5.0E-4,0.005,0.0014,0.0,0.0,0.0,1.0E-4,0.0014,7.0E-4
145,"Blue Cut, Subsection 1",0.0056,0.0,0.0,0.0,5.0E-4,0.0056,0.0016,0.0,0.0,0.0,1.0E-4,0.0016,8.0E-4
146,"Blue Cut, Subsection 2",0.0044,0.0,0.0,1.0E-4,5.0E-4,0.0044,0.0013,0.0,0.0,1.0E-4,2.0E-4,0.0013,6.0E-4
147,"Blue Cut, Subsection 3",0.0046,0.0,0.0,1.0E-4,6.0E-4,0.0046,0.0013,0.0,0.0,1.0E-4,2.0E-4,0.0013,6.0E-4
148,"Blue Cut, Subsection 4",0.0038,0.0,0.0,0.0,4.0E-4,0.0038,8.0E-4,0.0,0.0,0.0,1.0E-4,8.0E-4,4.0E-4
